NAME,PERIMETER (meters),AREA (sq. feet)
,3359.419277084372,890870.0743795779
,707.423057315782,27542.131242206553
,1860.424301487962,295554.2014315654
,13033.08632842573,79663059.75349358
,2958.201208176342,424741.44388451223
,1787.0115863847284,1222624.567087035
,3919.2438625134223,8695300.76003391
,2227.510501477728,2583848.231757823
,6034.555379112277,17738212.528673347
,3759.6508469960145,1992758.2987160056
,15153.597653171535,113547054.02999967
,1742.9268160892368,1087049.7771180118
,1043.0904435517955,158407.11615799874
,594.191724957622,62498.859591917746
,854.2171250129957,67461.38312209233
,1929.0632480450595,1059415.61366386
,1348.9359814728641,265115.7929693164
,730.378123938953,95944.7508191536
,1442.1337724274733,107086.52475176663
,3020.683100813435,4613212.58473414
,1382.9242045464207,85059.93984954942
,962.5033407977086,87604.01869555199
,366.03404446609727,8659.216455073372
,1625.837573811359,1077664.5445586583
,1298.576772185384,320434.48400856846
,2677.022617119269,3280658.4492239864
,901.2341822892068,328579.6585872868
,755.2289810208266,176996.48537014122
,2528.790177272783,2332768.5315776705
,1347.1155927345656,903334.9455478723
,4662.125355174056,2802899.1821589097
,1890.859892523961,1077114.8857228288
,2991.2182661739525,900444.2060887478
,1409.78579334343,809204.9245912262
,8765.793759268294,45248645.18464723
,1476.7467662631984,101445.14381952662
,1054.7120044028236,345153.326414657
,767.2109185657512,109251.92537799367
,3490.516748766729,7593263.858397112
,1076.0685584045364,338389.28716707847
,1246.6402401622095,67806.5619554523
,1852.122056164009,1534393.5221396992
,3478.501587306769,831840.9069324571
,1132.9997805314138,66625.93378344498
,1900.2469910909201,174763.71891889285
,1574.8661764548137,316609.6452193876
,3452.436450238358,884938.8640946875
,1288.948370591708,34549.52111136561
,4402.377222562699,8414470.13045911
,3897.837110851646,2484844.065395414
,1953.6867298353052,631934.4264486211
,1696.380124973385,83252.47310754137
,3089.3501012309325,5414060.45053868
,3338.604456139488,4318455.395976198
,2534.0744607849792,408236.460382782
,1303.7185676982376,21399.48812214889
,928.0526974815425,232241.91881584906
,1175.5491154286951,301513.45812145295
,2092.2851387202,1547925.993037454
,1348.4215604891037,71698.57431311194
,456.5430274785673,7029.298847100281
,1290.49770916834,677277.6762449326
,3573.687780832039,339925.2031215091
,5235.857021409613,9486326.10210185
,2267.236225167152,2299924.0929300203
,1509.2318377542051,489241.82777249825
,4595.976040240044,11725965.806360412
,1131.1521066385644,94437.4101139135
,385.4101006823845,19675.815304301435
,2468.543454420291,187544.6417141977
,703.8432316892038,32964.62376723734
,933.2806733648596,414134.1692984968
,714.8820554647883,279545.810519781
,2003.3035044925286,397830.79048169364
,3008.655634246947,2103938.9853110644
,3002.0040210160205,4809710.72779048
,745.3955655913627,57392.092177915
,1309.8335404446873,140214.92620878865
,2254.0290938887456,272472.9909487517
,1195.1601361010996,423684.88453684095
,2021.089758554437,1734783.7540696997
,1483.7940431416412,929028.2126056502
,4633.119365055115,698910.0096810621
,1668.189779647646,378066.6883224134
,2839.697644053721,599060.5185918029
,1160.8534328687915,176977.82277465117
,7172.950883490197,19541166.425307658
,8894.822371733262,9295959.82103573
,274.5353387584139,12263.670547491527
,2053.3901366779623,1629218.9253377272
,3202.085780757362,4497873.869060069
,1756.632275111355,548260.0888581512
,2288.840527585067,74026.44633069709
,1118.925369157758,127591.00978952568
,3487.080743161976,827552.3437732867
,2495.7621377948,2416828.1058042347
,3565.286033349971,278831.494754499
,2226.6552628653476,1788614.4660815457
,4442.084456118741,452640.756376471
,6259.988032575487,12544150.238636767
,2353.4016980518954,2416348.4943093434
,4489.632520432408,9940930.832180968
,1621.8167712752854,667080.7273154027
,1220.468814877453,502336.9451186908
,1206.980249522552,117222.1387934805
,4868.961920322446,13780901.511994528
,3113.8581823094546,4023262.3463914734
,2057.9304173327146,795398.992400551
,1514.022755429145,407727.6781506831
,1345.451860711383,142637.27545905337
,1154.9439009606003,18950.595491135846
,1517.8846479362055,97546.47346622312
,2960.171999831412,4886795.730719354
,2021.5432691006808,1390890.8698824227
,626.1400362055748,194482.7422033973
,1904.04739755092,1335724.121190005
,988.5779433224558,176621.9662897351
,1834.9989189469416,1569831.686089155
,2694.5843515098168,1105902.5284423975
,10027.28173322515,43508705.579821184
,3860.7978276149647,7756736.475466884
